Naam;Aanbod;Keuken;Dieet;Take-away opties;Tekstveld;Adres;Postcode;Gemeente;Telefoonnummer;Link;Image name;Image URL;E-mail;Column 15;Column 16;Column 17;Omschrijving voor paasactie;Link;image_path
Baravins;"Dranken;Brasserie keuken;Ontbijt en brunch;Pasta;Tapas;Zomerwedstrijd";"Belgisch;Italiaans;Mediterraans";Vegetarisch;;Baravins is een wijnbar in het hartje van de stad met wijnen van kleinere wijnboeren, ter plaatse geselecteerd geselecteerd door ons team. We verfijnen ons in Spaanse en Griekse wijnen. Tapas en méér te verkrijgen tot sluitingstijd (24u) !;Steendam 53;9000;Gent;0496246672;http://www.baravins.be/specials/;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/160e550265e4ac751c728e9291ccb678;info@baravins.be;496246672;;;;http://www.baravins.be/specials/;https://stad.gent/sites/default/files/webform/horeca/7195/baravins_gent%C2%A9rudyroan.be_LR%C2%A9-7317.jpg
Bari;Pasta;Italiaans;;;Al het lekkers uit de Italiaanse keuken.;Brabantdam 103 - 105;9000;Gent;092236571;http://www.ristorantebari.be;Bari.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/96cc180cd407edec8088b36897b08fae;;;;;;http://www.ristorantebari.be;https://stad.gent/sites/default/files/koop_lokaal/Bari.jpg
Bassin;Wereldkeuken;"Belgisch;Mediterraans;Aziatisch;Marokkaans";;;Wereldse combinaties die verrassen. Gezond, lokaal en ambachtelijk.;Bassijnstraat 65, 65;9050;Gentbrugge;0032494866614;https://www.facebook.com/Restaurant-Bassin-662659317541715/;Bassin.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/43e22570bfe8a38bc16a85cf4706626d;;;;;;https://www.facebook.com/Restaurant-Bassin-662659317541715/;https://stad.gent/sites/default/files/koop_lokaal/Bassin.jpg
Bavet - Hooiaard;"Pasta;Kindvriendelijk";"Belgisch;Italiaans";"Glutenvrij;Veganistisch;Vegetarisch";;Fast casual spaghetti Made for Friends. 2nd best spaghetti after your (grand)mom’s. - Enjoying spaghetti with your friends without making stains on your shirt.;Hooiaard 7;9000;Gent;;https://www.bavet.eu/;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/40618fb41aee5a414f6e8c83d158b354;;;;;;https://www.bavet.eu/;https://stad.gent/sites/default/files/webform/horeca/6818/GHmuze2_c6333d3d3a9e8854c142c893fcac1264.jpg
Bavet - Verlorenkost;"Pasta;Kindvriendelijk";"Belgisch;Italiaans";"Glutenvrij;Veganistisch;Vegetarisch";;Fast casual spaghetti Made for Friends. 2nd best spaghetti after your (grand)mom’s. - Enjoying spaghetti with your friends without making stains on your shirt.;Verloren Kost 1;9000;Gent;;https://www.bavet.eu/;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/d6b574deecaa2b2cf08811bfe7425754;;;;;;https://www.bavet.eu/;https://stad.gent/sites/default/files/webform/horeca/6817/VK5_c6333d3d3a9e8854c142c893fcac1264.jpg
Blomme;"Lunch;Tapas";Belgisch;;;Good mood food, lunch, tapas, vegetarisch, vlees, vis;Leo Tertzweillaan 11;9050;Gentbrugge;0489697473;https://www.facebook.com/blomme.gent/;Blomme.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/7ec16bcb8976020e586ffda114e725d6;;;;;;https://www.facebook.com/blomme.gent/;https://stad.gent/sites/default/files/koop_lokaal/Blomme.jpg
Bøef;BBQ en grill;Amerikaans;Vegetarisch;;Burgers & bites from around the world;Dok Noord 4b - Hal 16;9000;Gent;;https://www.facebook.com/boefdoknoord;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/2fd31079bde3143dca7d62dc7d2f85b1;rok@dbc.gent;;;;;https://www.facebook.com/boefdoknoord;https://stad.gent/sites/default/files/webform/horeca/6883/122286694_1438622296340394_1883923803894595378_n.jpg
Bonavia;"Brasserie keuken;Lunch;Pasta";Belgisch;;;Vers bereide comfortfood gerechten op restaurant niveau, zowel klassiek als wereldkeuken;Sint-pietersnieuwsstraat, 91;9000;Gent;0474510430;https://www.facebook.com/bonavia.Gent;Bonavia.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/d8672a3e1d199e2a1af2e171f8fe4905;;;;;;https://www.facebook.com/bonavia.Gent;https://stad.gent/sites/default/files/koop_lokaal/Bonavia.jpg
Borsalino - San Marino;"Pasta;Pizza";Italiaans;;;Italiaanse gerechten;Vlaanderenstraat 44;9000;Gent;092258694;https://www.tablebooker.be/restaurant/02110256/Borsalino-San-Marino;Borsalino-SanMarino.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/b677f51be5ed9485d31741e7cbd7d61f;;;;;;https://www.tablebooker.be/restaurant/02110256/Borsalino-San-Marino;https://stad.gent/sites/default/files/koop_lokaal/Borsalino-SanMarino.jpg
brasserie Bridge;Brasserie keuken;"Belgisch;Frans";Glutenvrij;;Wekelijks keuzemenu vlees of vis met verse soep. Op maandag wordt telkens het menu bekend gemaakt. Bestellen kan tot vrijdagavond 20u, afhalen op zaterdag tussen 11u en 13u.;Sint Baafsplein 21;9000;Gent;092236167;https://www.brasseriebridge.be/;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/2b3b0433f4a8dad100bae08a0541e493;brasserie@bridge.gent;92236167;;;;https://www.brasseriebridge.be/;https://stad.gent/sites/default/files/webform/horeca/6988/Facebook-post%20940x788%20px.JPG
Brasserie Keizershof;Brasserie keuken;Belgisch;;;Brasseriekeuken;Vrijdagmarkt 47;9000;Gent;092234446;http://www.keizershof.net;Keizershof.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/3361d520828a490228028bd399a5c0b3;;;;;;http://www.keizershof.net;https://stad.gent/sites/default/files/koop_lokaal/Keizershof.jpg
Brasserie Mathise;"Dranken;Pasta;Zoet";Belgisch;;;Van daglunch tot weekend menu en à la carte. Op zondag levering van ontbijtboxen;Oostakkerdorp 4A;9041;Oostakker;093297838;http://www.mathise.be/afhaal;Mathise.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/1c1570000e6a5e30357193d87337df44;;;;;;http://www.mathise.be/afhaal;https://stad.gent/sites/default/files/koop_lokaal/Mathise.jpg
Brasserie Maxine;"Dranken;Brasserie keuken;Lunch;Kindvriendelijk";Belgisch;;;In Brasserie Maxine kunt U dagelijks vanaf 11u tot 21u doorlopend terecht voor een vlotte lunch met collega’s of een gezellig diner met vrienden. Tussendoor bieden wij U een lekkere kop koffie aan met een pannenkoek of wafel.;Botestraat 1J;9032;Wondelgem;09 253 00 41;http://brasseriemaxine.be/;brasseriemaxine.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/9fe7e60ad8c7f4a0010f5ec079bb23bf;contact@brasseriemaxine.be;;;;;http://brasseriemaxine.be/;https://stad.gent/sites/default/files/webform/horeca/12718/Tearoom_Maxine%20%281%29.jpg
Café Congé;"Dranken;Brasserie keuken;Gezond;Pasta;Kindvriendelijk";Belgisch;;;Dit fijne café ligt middenin een levendige woonbuurt Brugse Poort. Hier is iedereen welkom voor een hapje of een drankje. Maak er je keuze uit één van de 40 bieren of proef er van de heerlijke huisgemaakte spaghetti bolognaise.;Fonteinplein 22;9000;Gent;;;cafeconge.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/b5e45438c3cc6400ffaaf38bcc7c973b;charlottefrans@gmail.com;;;;;;https://stad.gent/sites/default/files/webform/horeca/12559/71843273_2559244224311649_778825622582460416_n.jpg
Café de Loge;"Dranken;Gezond;Zomerpas De Lijn;";Belgisch;Veganistisch;;Elke zondag afhalen op bestelling: vegan gerechten, limonades, speciale biertjes;Annonciadenstraat 5;9000;Gent;003292253438;http://www.deloge.be;CaféDeLoge.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/5038bba1045f99e3b913dc61edbd91d1;;;;;;http://www.deloge.be;https://stad.gent/sites/default/files/koop_lokaal/CaféDeLoge.jpg
Croqino's;"Ontbijt en brunch;Lunch;Zomerwedstrijd";Belgisch;;;Een Croqino is een handgemaakte premium volkoren croque gevuld met heel diverse ingrediënten (vlees, vis, veggie, hartig of zoet). Warm af te halen of koud om dan zelf later op te warmen in de broodrooster of oven;Ajuinlei 27;9000;Gent;092790051;https://www.croqinos.com/menu-take-out/;Croqinos.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/4cf4c85a521b23cd67a23e9cd46247ab;;;;;;https://www.croqinos.com/menu-take-out/;https://stad.gent/sites/default/files/koop_lokaal/Croqinos.jpg
De Appelier;"Brasserie keuken;Gezond;Lunch";Belgisch;"Veganistisch;Vegetarisch";;Vegetarisch dagschotelrestaurant met tuinterras.;Citadellaan 47;9000;Gent;092216733;http://www.deappelier.be;DeAppelier.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/4bd6dc9bb628e31529b2222b0e58ed10;;;;;;http://www.deappelier.be;https://stad.gent/sites/default/files/webform/winkels/11863/1625659364160_1625659359413_0_IMG-20210622-WA0012_0.jpg
De Griek;"Dranken;Gastronomisch;Kindvriendelijk";Grieks;;;Kom genieten van authentieke Griekse gerechten!;Citadellaan 5;9000;Gent;09 222 46 29;https://degriekgent.be/;degriek.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/e636455be26bfea393a7528b4c254d4b;info@degriekgent.be;;;;;https://degriekgent.be/;https://stad.gent/sites/default/files/webform/horeca/12643/36_De%20Griek_overzicht.JPG
Dominos Pizza;Pizza;Italiaans;;;;Overpoortstraat, 57;9000;Gent;003292203737;http://www.dominos.be;DominosPizza.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/7dd9d56fc1eaeb9e54635e5bbc65f2e2;;;;;;http://www.dominos.be;https://stad.gent/sites/default/files/koop_lokaal/DominosPizza.jpg
Estelle;"Dranken;Ontbijt en brunch;Zoet";Belgisch;;;Ontbijt, koffies, lattes, warme dranken, belegde tartines, soep, brownies, muffins, sapjes;Kunstlaan 30a;9000;Gent;093610902;https://www.estellegent.be/;Estelle.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/8b32aa20dbd585fbe99ac453c7689139;;;;;;https://www.estellegent.be/;https://stad.gent/sites/default/files/koop_lokaal/Estelle.jpg
Firenze;"Wereldkeuken;Pizza;Pasta";Italiaans;;;Italiaanse specialiteiten: antipasto, pasta, pizza,...;Sint-Amandstraat 1;9000;Gent;092234416;http://www.restaurantfirenze.be/;Firenze.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/2c919ed159162c15f92bf3b9a6677cae;;;;;;http://www.restaurantfirenze.be/;https://stad.gent/sites/default/files/koop_lokaal/Firenze.jpg
Frituur Marcel;Frietjes;Belgisch;;;Verse frietjes, snacks en Marcel’s burger;Ter Platen 4;9000;Gent;0486638444;https://www.takeaway.com/be/frituur-marcel?k1111=k1111&gclid=CjwKCAiAtK79BRAIEiwA4OskBpvcvAei1t_YB_5qcuUaepS_mJdlImHj4F3LkuLGLSb7LzG_m4P5sRoCwQMQAvD_BwE&gclsrc=aw.ds;FrituurMarcel.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/41606ab94f335b642462b8a74740dd6f;;;;;;https://www.takeaway.com/be/frituur-marcel?k1111=k1111&gclid=CjwKCAiAtK79BRAIEiwA4OskBpvcvAei1t_YB_5qcuUaepS_mJdlImHj4F3LkuLGLSb7LzG_m4P5sRoCwQMQAvD_BwE&gclsrc=aw.ds;https://stad.gent/sites/default/files/koop_lokaal/FrituurMarcel.jpg
Ganzerik;"Dranken;Brasserie keuken;Gezond;Ontbijt en brunch;Pasta;Tapas;Wereldkeuken";"Amerikaans;Aziatisch;Belgisch;Chinees;Frans;Grieks;Indiaas;Indonesisch;Italiaans;Japans;Koreaans;Libanees;Marokkaans;Mediterraans;Mexicaans;Midden-Oosters;Spaans;Syrisch;Thais;Turks";"Veganistisch;Vegetarisch";;"Lokale bieren, comfort food en een zonnig terras en een heerlijk uitgebreide brunch.
Ganzerik is een go-to eatery voor een luie zondag ochtend, een woensdag aperitivo of een late night biertje op een zaterdag.";Druifstraat 29;9000;Gent;093300007;www.ganzerik.be;Ganzerik.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/147f86e3f5b7bd43b7651484516ae2a0;ben@ganzerik.be;0485734890;;;;www.ganzerik.be;https://stad.gent/sites/default/files/webform/horeca/10924/175A8834.jpg
Giri;Ontbijt en brunch;Belgisch;;;Brunchbox op zondag;Jan Breydelstraat 18, 1;9000;Gent;0476743401;https://www.facebook.com/giricafe;Giri.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/e7f334d0f34cc892eea288c86c5d6545;;;;;;https://www.facebook.com/giricafe;https://stad.gent/sites/default/files/koop_lokaal/Giri.jpg
Goesting;"Dranken;Gezond;Lunch;Zomerwedstrijd";Belgisch;;;Koffie, thee, chocomelk, quiche, balletjes;Predikherenlei 25;9000;Gent;0476623966;https://www.facebook.com/Goestinggent/;Goesting.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/c4faaaa33c1a7d1e84f8d88dae76032f;;;;;;https://www.facebook.com/Goestinggent/;https://stad.gent/sites/default/files/koop_lokaal/Goesting.jpg
Grade;"Brasserie keuken;Gastronomisch";"Belgisch;Frans";Glutenvrij;;Verse, seizoengebonden, authentieke en smaakvolle gerechten met liefde bereid.;Ledebergplein, 27;9050;Ledeberg;0478202108;http://www.grade.be;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/ff9d4f80e67d14d52ec8733cb296d6e0;info@grade.be;478202108;;;;http://www.grade.be;https://stad.gent/sites/default/files/webform/horeca/7957/_SR31329-Copy1.jpg
Greek Time;"BBQ en grill;Dranken;Brasserie keuken;Wereldkeuken;Zomerwedstrijd";Grieks;Vegetarisch;;Griekse, mediterraanse keuken, vis- en vleesgrillades, stoofpotjes en salades.;Brugsevaart,141;9030;Mariakerke;092370115;http://greektime.be/;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/8f7558a8a3f9d63e3efacde57cb78c1c;nathalie.allonsius12@gmail.com;473331222;;;;http://greektime.be/;https://stad.gent/sites/default/files/webform/horeca/7984/20191220_114851.jpg
Groot Vleeshuis;"BBQ en grill;Dranken;Kindvriendelijk;Lunch;Brasserie keuken";Belgisch;;;Het Groot Vleeshuis huisvest het Centrum voor Oost-Vlaamse Streekproducten. Je vindt er het volledige aanbod.;Goudenleeuwplein 3;9000;Gent;09 223 23 24;https://www.grootvleeshuis.be/;grootvleeshuis.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/814003320f51f3c14e9fd24cb82c6f88;info@grootvleeshuis.be;;;;;https://www.grootvleeshuis.be/;https://stad.gent/sites/default/files/webform/horeca/12661/44_Groot%20Vleeshuis_overzicht_1.JPG
HAVEN;"Lunch;Noedels;Wereldkeuken";Aziatisch;"Glutenvrij;Veganistisch;Vegetarisch";;Lunch Café HAVEN (Dok Noord - Gent), authentic NOODLES & funky SHARING DISHES -> Ma - Vrij 12:00 - 14:00;Dok Noord 6a;9000;Gent;0472337236;www.eethaven.be;laopicture6jpg.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/c104c53fc0e620c9bf325ff62e3f600a;;;;;;www.eethaven.be;https://stad.gent/sites/default/files/webform/horeca/17883/laopicture6jpg.jpg
Hof van Herzele;"Dranken;Gezond;Lunch;Pasta;Zoet;Kindvriendelijk";Belgisch;;;Hedendaags restaurant in middeleeuwse herberg.;Sint-Baafsplein 34;9000;Gent;0477 69 94 10;http://www.hofvanherzele.be/;hofvanherzele.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/5a1aca0ee711977f48ca454203c417f1;laurencequintelier@gmail.com;;;;;http://www.hofvanherzele.be/;https://stad.gent/sites/default/files/webform/horeca/12634/34_Hof%20van%20Herzele_overzicht1.JPG
Holy Guacamoly St. Pieters;"Gezond;Lunch;Taco's;Zomerwedstrijd";"Amerikaans;Mexicaans";"Glutenvrij;Halal;Veganistisch;Vegetarisch";;Holy Guacamoly wil tonen dat fast food niet altijd gelijk staat aan ongezond eten. We werken met verse producten proberen ons steentje bij te dragen aan een gezondere levenswijze.;Kon.Elisabethlaan 4;9000;Gent;0493650580;https://www.holyguacamoly.be/nl/;HolyGuacamolySt.Pieters.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/d280d9bfb9466f09d5320b04c0ebbc1e;;;;;;https://www.holyguacamoly.be/nl/;https://stad.gent/sites/default/files/webform/horeca/8481/HolyGuacamoly-26feb2019-054.jpg
Huset;"Gezond;Lunch;Ontbijt en brunch;Zoet;Kindvriendelijk";Belgisch;;;Huset is een gezellige en huiselijke ontmoetingsplek, gevestigd in een uniek herenhuis met salon, piano (vrij te bespelen) en tuin met terras en galerij.;Hoogstraat 49;9000;Gent;;https://www.husetgent.be/;huset.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/a5d5c8a13291414a9d58e1d1895a174a;eveline.roels@gmail.com;;;;;https://www.husetgent.be/;https://stad.gent/sites/default/files/webform/horeca/12673/52_Huset_overzicht.JPG
Illie Mangaro;"Dranken;Gezond;Tapas;Wereldkeuken";"Aziatisch;Indiaas;Indonesisch;Marokkaans;Mediterraans;Thais";"Glutenvrij;Halal;Veganistisch;Vegetarisch";;"Onze gezonde en wereldse keuken biedt de Immunity Bowl & werelds gerecht - vegan of met vlees- aan. Afhalen: vrij-zat tss 11u-15u op DOK NOORD nr 7 t.o.v. blauwe kraan
Met vers geoogste groenten van bij onze lokale bioboer - korte keten";Sassevaartstraat 47;9000;Gent;0476878104;https://illiemangaro.be/catering_2/lockdowntakeaway/;Illiemangaro.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/b871b42127ae108525d9e2ac4e91e53c;;;;;;https://illiemangaro.be/catering_2/lockdowntakeaway/;https://communicatie-digitaal.gent.be/kooplokaal/Illiemangaro.jpg
Kin Khao - Thai Eatery;"Wereldkeuken;Noedels";Thais;;;Authentieke Thaise gerechten;Donkersteeg 23;9000;Gent;0468105959;http://www.kinkhao.be/site/;KinKhao-ThaiEatery.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/17d639ce03622503a6f293e6b999c329;;;;;;http://www.kinkhao.be/site/;https://stad.gent/sites/default/files/koop_lokaal/KinKhao-ThaiEatery.jpg
Koffeine;"Dranken;Kindvriendelijk";Belgisch;;;The coffee bar is located in the center of Gent near St.Baafs cathedral. We always aim to serve you with the perfect and consistent cup of coffee from one of the best Belgium roasters.;Lange Kruisstraat 6;9000;Gent;0485 99 91 78;https://www.instagram.com/koffeinegent/;koffeine.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/8b2d50bde239477074c64acd2a08ac35;koffeinegent@gmail.com;;;;;https://www.instagram.com/koffeinegent/;https://stad.gent/sites/default/files/webform/horeca/12640/35_Koffiene_overzicht2.JPG
L'Amuzette;"Dranken;Lunch;Kindvriendelijk";Belgisch;;;L’AmuZette is een ode aan alles wat mooi is of lekker smaakt. Alles wat je in de winkel ziet, kan je bovendien ook kopen. Spring binnen, kijk rond en laat je verrassen.;Krommewal 2;9000;Gent;09 398 29 80;https://www.lamuzette.be/;lamuzette.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/e53b62bebfb8cb5442c16b92aac122ce;info@lamuzette.be;;;;;https://www.lamuzette.be/;https://stad.gent/sites/default/files/webform/horeca/12565/19_l%27Amuzette_overzicht.JPG
Le Grand Bleu;"Gastronomisch;Gezond;Lunch";Mediterraans;"Glutenvrij;Vegetarisch";;Ook tijdens deze 2e horeca lockdown, kunt u bij ons terecht voor de heerlijkste afhaalgerechten, vers uit de zee. Plateau Fruits de mer, Diverse vis- en kreeftenbereidingen, afhaalmenu's... Om duimen en vingers bij af te likken. Meer info -> zie site;Snepkaai 15;9000;Gent;;https://www.legrandbleu.be/;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/3ec9a5cbc209ce53bfa2ced7dfb2c5ae;tiny@gefiman.be;32496290699;;;;https://www.legrandbleu.be/;https://stad.gent/sites/default/files/webform/horeca/7197/1B_Mailing%20copy_0.jpg
Le Pain Quotidien Kalandeberg;"Lunch;Ontbijt en brunch;Zoet";Belgisch;;;Bakkerij - Ontbijt - Brunch - Lunch - Vieruurtje;Kalandeberg 10;9000;Gent;092241879;https://www.lepainquotidien.com/be/nl/locations/Gent_Kalandeberg/Kalandeberg-10;LePainQuotidienKalandeberg.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/d64f7e7ff21db6c0c4a7759f5472a942;;;;;;https://www.lepainquotidien.com/be/nl/locations/Gent_Kalandeberg/Kalandeberg-10;https://stad.gent/sites/default/files/koop_lokaal/LePainQuotidienKalandeberg.jpg
Lekker Gec;"Gezond;Lunch;Pasta";Belgisch;Vegetarisch;;Plantaardige dagschotels, bijgerechten, pasta's en desserts;Koningin Maria Hendrikaplein 6;9000;Gent;092428750;http://www.lekkergec.com/;LekkerGec.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/063391e8e164b58c47d3340f165ed748;;;;;;http://www.lekkergec.com/;https://stad.gent/sites/default/files/koop_lokaal/LekkerGec.jpg
Luv l’Oeuf;"Ontbijt en brunch;";Belgisch;;;Goedgevulde Brunchboxen elke zaterdag en zondagochtend;Nederkouter 39;9000;Gent;;https://www.fingersandwiches.be/;LuvL'oeuf.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/07a3f02f80b64c3ff2eb5ae2881536c4;;;;;;https://www.fingersandwiches.be/;https://stad.gent/sites/default/files/koop_lokaal/LuvL'oeuf.jpg
