Naam;Image URL;Aanbod;tekstveld (250 karakters);Hoe kan je winkelen;Adres;Postcode;Gemeente;Telefoonnummer;Link;E-mail;Column 12;Column 13;Cityzine;Column 15;Omschrijving;Link;image_path
Carrément;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/bab5f9ba8d660ea345c057d4cc99f103;"Accessoires;Beauty;Juwelen;Kleding;Schoenen";Luxe dameskledingzaak met meerdere merken. Bij Carrément presenteren we een goed samengestelde kledingcollectie om vrouwen zich sexy, vrouwelijk, uniek en krachtig te laten voelen. Het draait allemaal om mode!;;Brabantdam 3;9000;Gent;092240648;http://www.carrement.be;;;;;;;http://www.carrement.be;https://stad.gent/sites/default/files/webform/winkels/6731/image1.jpg
Chapeluur;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/3b3df3f9cb675ea106ce0f7c0874eb76;Dranken en voeding;De place to be voor elke krokettenliefhebber! Meer dan 20 verschillende soorten kroketten, ter plekke eten of afhalen. Aan jouw de keus!;;Kortemunt 3;9000;Gent;;https://chapeluur.eu;jonith@chapeluur.eu;468168210;;;;;https://chapeluur.eu;https://stad.gent/sites/default/files/webform/winkels/11842/AF-Fotografie%20-%20AF_C2121.jpg
Collectief;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/91cc7d24643d15551b7897deaf199215;"Accessoires;Juwelen;Koken en tafelen;Planten en bloemen";Een echt snuisterwinkeltje vol unieke handgemaakte en zelfgemaakte creaties, zoals kledij, stoffen, tasjes, tote bags, juwelen, keramiek, prints en postkaartjes. Creaties, lokaal gemaakt met aandacht voor een eerlijk, ecologisch maakproces.;;Meibloemstraat;9000;Gent;;https://https://www.collectiefgent.be;;;;;;;https://https://www.collectiefgent.be;https://communicatie-digitaal.gent.be/kooplokaal/Collectief.jpg
Colombian Boho;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/79797e7b06c8ffe8023612c1fcc2ded7;"Planten en bloemen;Wonen";De Colombian Boho Plants & Pottery Shop is zonder twijfel de meest unieke plantenwinkel in Gent. Bij ons vind je prachtige exotische kamerplanten en unieke handgemaakte terracotta potten uit Colombia!;;Steendam 76;9000;Gent;0470800691;https://Www.colombianboho.com;info@colombianboho.com;470800691;;;;;https://Www.colombianboho.com;https://stad.gent/sites/default/files/webform/winkels/10837/2C712292-AE5C-4633-9217-407ED96EB1D2.jpg
Consouling Store;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/4592fe68b794bce6472743fd0d62977e;"Boeken;Dranken en voeding;Hobby en DIY;Muziek, film en games";In de Consouling Store kan je naast niche-muziek (op cd en vinyl, zowel nieuw als 2e hands) ook muziekboeken en breinbreker puzzels vinden. Je kan er snuisteren en ontdekken, genietend van een koffie of een frisdrankje. (Wanneer dat toegelaten is);;Baudelostraat 11;9000;Gent;;http://store.consouling.be;;;;;;;http://store.consouling.be;https://stad.gent/sites/default/files/webform/winkels/6735/IMG_3785.JPG
CUBE MENSWEAR;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/32623bb6a69ceb3d617db4334588fb83;"Kleding;Schoenen";Designer herenkleding en -schoenen recht van de catwalks in Milaan en Parijs. Tijdloze elegantie zit in ons DNA en het aanbod is een symbiose tussen sartorial en luxury sportswear.;;ONDERBERGEN 34;9000;Gent;092257380;http://www.cube-menswear.be;cedric@cube-menswear.be;474556032;;;;;http://www.cube-menswear.be;https://stad.gent/sites/default/files/webform/winkels/7753/KOOPLOKAAL_0.jpg
De Direkteurswoning;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/1e0e8f2e8a94bf16ed284f1ca5dd07b8;Wonen;"Een begrip in toonaangevend design en interieurinrichting, voor zowel de grote designklassiekers als het design van nu.
 
 Onze interieurarchitecten helpen u graag verder om van uw huis een thuis te maken.";;Sassevaartstraat 44;9000;Gent;092252448;https://www.dedirekteurswoning.be/;peter@dedirekteurswoning.be;0486 36 18 20;;;;;https://www.dedirekteurswoning.be/;https://stad.gent/sites/default/files/webform/winkels/6971/3172530_Christmas_2019_v_fullbleed_1440x.jpg
De Groene Piraat;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/667e845c74d8bf6e64746969caa04b31;"Accessoires;Beauty;Kleding";Je lokale Gentse CBD speciaalzaak.;;Kuiperskaai 35;9000;Gent;0493858165;http://www.degroenepiraat.be;;;;;;;http://www.degroenepiraat.be;https://stad.gent/sites/default/files/webform/winkels/6749/IMG_20200606_173239_764.jpg
De Wijnhoek;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/70d2065f2881b64b317092b27bd32a01;Dranken en voeding;Bent u op zoek naar die ene speciale fles wijn, whisky, gin of andere drank? Dan bent u bij De Wijnhoek aan het juiste adres.;;Brugsesteenweg 599;9030;Mariakerke;092366657;http://www.dewijnhoek.be;;;;;;;http://www.dewijnhoek.be;https://stad.gent/sites/default/files/webform/winkels/6762/de%20wijnhoek.jpg
Doen. het Gents kookmagazijn.;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/d8c7ae810efc83fa92ae5ddd279a40fa;Koken en tafelen;Doen, het Gentse kookmagazijn heeft alles in huis om het de gepassioneerde kok naar zijn zin te maken. In onze winkel vind je een professioneel assortiment aan keukengerei. Advies met een glimlach én met kennis van zaken staan hier centraal.;;Brabantdam 48;9000;Gent;093359192;http://www.doen-gent.be;;;;;;;http://www.doen-gent.be;https://communicatie-digitaal.gent.be/kooplokaal/doen.jpg
Drukte;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/b41a77c043a914caa6d5d6aff03ba211;"Accessoires;Kleding";Postkaartjes, wenskaarten, kerst- en nieuwjaarscollectie.;;Papegaaistraat 64/001;9000;Gent;092241445;http://www.drukte.be;;;;;;;http://www.drukte.be;https://stad.gent/sites/default/files/webform/winkels/6685/winkel.JPG
Edelgedacht;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/40af432f0b8fa68e2462306415d82762;Juwelen;Edelgedacht staat voor vormgeven in edele metalen - aparte originele juwelen - handmade - Niessing spanring. Zowel eigen ontwerpen  als ontwerp in overleg met jou.;;kerkplein, 7;9000;Gent;0473494552;http://www.edelgedacht.be;elsie@vanhoutteghem.be;473494552;;;;;http://www.edelgedacht.be;https://stad.gent/sites/default/files/webform/winkels/6869/IMG_7002.JPG
Edelgedacht;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/c6fd551d2e839a0852c46afe3ca82216;Juwelen;;;koestraat 2;9000;Gent;092336610;https://www.edelgedacht.be;elsie@vanhoutteghem.be;473494552;;;;;https://www.edelgedacht.be;https://stad.gent/sites/default/files/webform/winkels/7751/www.footoo.be-7098.jpg
EXTRASOFT;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/9434ec93097dcfb2dcac5e999db47898;Elektronica;"Extrasoft is sinds 1990 een belangrijke speler op de computermarkt.
U kunt bij ons terecht voor zowel PC's, notebooks, randapparatuur en alle toebehoren zoals inkt e.d. evenals herstellingen.
Alle courante producten zijn op voorraad in onze winkel.";;Brugsesteenweg 212;9000;Gent;092361607;https://www.extrasoft.be;info@extrasoft.be;09/2361607;;;;;https://www.extrasoft.be;https://stad.gent/sites/default/files/webform/winkels/9083/Winkel2020.jpg
Fann;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/68fff0eb6170469a0c15be8e14a2a561;Kleding;"Fann is een trendy tweedehandswinkel in hartje Gent. Voor liefhebbers van eigentijdse merkkleding, schoenen en handtassen. Geen muffe of outdated spullen hier.
Preloved and ready to be loved again ❤ !";;Burgstraat 36;9000;Gent;;https://www.fann.be;ilse@fann.be;496830114;;;;;https://www.fann.be;https://stad.gent/sites/default/files/webform/winkels/11887/fann-1.jpg
FIK haarden-zwembaden-tuinen-beleving;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/a5389e6f6243eb1966e430ab9f36e4d5;Wonen;Reeds jaren brengen de haarden van FIK warmte en sfeer in en rond uw woning. Maar nu kan u ook op ons rekenen voor het plaatsen van zwembaden die voor verkoeling en ontspanning zorgen in uw tuin. Zo dragen wij bij aan de ultieme beleving van uw thuis;;Wiedauwkaai, 109;9000;Gent;09/230.44.03;https://www.fik.be;;;;;;;https://www.fik.be;https://stad.gent/sites/default/files/webform/winkels/15069/DRJ_8400-HDR.jpg
FLVVR Flower&Flavordesign;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/1b8331c653d2efc159ac670290c5f5b1;Planten en bloemen;Fleurige boeketjes - Leuke bloeiende planten - Opgemaakte vazen met droogbloemen- Droogbloemen kransen -en zo veel meer!;;Kuiperskaai 11A;9000;Gent;09 278 75 29;;;;;;;;;https://www.flvvr.be/wp-content/uploads/2020/02/IMG_7807.JPG-1280x960.jpeg?v=1583821340
Food Travellers;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/f52bba0101207da9df73f99dc1fa04be;"Accessoires;Dranken;Koken en tafelen";Food Travellers importeert en verdeelt specerijen en olijfolie van topkwaliteit aan horeca en particulier en maakt er onderweg de lekkerste cadeaus mee.;;Oude Houtlei 2;9000;Gent;0475292197;https://foodtravellers.be;info@travellers-spices.be;0484/270161;;;;;https://foodtravellers.be;https://stad.gent/sites/default/files/webform/winkels/7103/FoodTravellers.jpg
Fraai;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/74c355d772a955eeb9d7e4fc85e9fbe5;Kleding;Lingeriewinkel met paskamerservice. Je vindt er alle Belgische en internationale topmerken zoals Marie Jo, PrimaDonna, Twinset, Lise Charmel, Chantelle, Pluto, enz. (alle dagen open!);;Kortedagsteeg 10;9000;Gent;093588025;http://www.fraai.be;;;;;;;http://www.fraai.be;https://stad.gent/sites/default/files/webform/winkels/6701/_W1B5588_89_90_91_92_93_94-bewerkt-bewerkt.jpg
Funni.be;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/71689ba608f387436ccc1cbc5b7b7714;"Accessoires;Juwelen;Kleding";Bij Funni.be vind je een origineel assortiment aan leuke kleding, accessoires en hebbedingen, vaak met een retro knipoog. Je kan er ook terecht met consumptiecheques of bonnen uitgegeven door cadeaubon Gent;;Begijnengracht 1;9000;Gent;;https://www.funni.be;info@funni.be;468137460;;;;;https://www.funni.be;https://stad.gent/sites/default/files/webform/winkels/7978/Ontwerp%20zonder%20titel.png
Galerie St-John Art & Antiques;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/83c58af67402b76fc792067f10ade844;"Accessoires;Boeken;Juwelen;Koken en tafelen;Wonen";Meer dan 3000 kunstvoorwerpen geselecteerd op kunsthistorische achtergrond, authenticiteit, originaliteit, métier en esthetiek worden verhandeld in een 18de eeuwse kapel in het hart van Gent.;;Bij St-Jacobs, 15A;9000;Gent;092258262;https://st-john.be/;info@st-john.be;92258262;;;;;https://st-john.be/;https://stad.gent/sites/default/files/webform/winkels/7077/DSC_8615.JPG
GANT Store Gent;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/b88e8de682e3020e48f904c9766599bc;"Accessoires;Kleding;Schoenen;Sport";Van Ivy League tot Amerikaanse sportkleding: met GANT slaag je altijd voor die casual maar toch geklede look.;;Kouterdreef 4;9000;Gent;092591370;https://https://www.gant.be/nl_be/;gent@gant.com;92591370;;;;;https://https://www.gant.be/nl_be/;https://stad.gent/sites/default/files/webform/winkels/10939/GANT%20store%20Gent.png
Gemaakt Met Liefde - Met Liefde Gemaakt;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/90b05d78ba0f97cabe5164e211fac43f;"Hobby en DIY;Kinderen;Kleding;Wonen";Ik ben Els, een maker van (al dan niet gepersonaliseerde) cadeautjes voor elke gelegenheid. Mijn doel is hierbij een glimlach te toveren op het gezicht van elke klant!;;Meesjesstraat 6;9032;Wondelgem;;https://www.gemaaktmetliefde-metliefdegemaakt.be;els.gemaaktmetliefde@gmail.com;0486 14 11 22;;;;;https://www.gemaaktmetliefde-metliefdegemaakt.be;https://stad.gent/sites/default/files/webform/winkels/7331/Koop%20Lokaal.png
Glance of Beauty;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/ce979b93efbed05e67ba31076721536f;Beauty;"Make-up artist en schoonheidsspecialiste in Sint-Amandsberg.
Je kan hier terecht voor make-up, bruids-/feestkapsels, gelaatsverzorgingen, Gelish, manicure, voetverzorging en epilaties.";;Emiel Lossystraat 68;9040;Sint-Amandsberg;0479277047;https://www.glanceofbeauty.be;;;;;;;https://www.glanceofbeauty.be;https://stad.gent/sites/default/files/webform/winkels/8532/IMG_8091%20%283%29.jpg
